minbound,shape,unit
0,6,3
0,21,3
0,11,3

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,0,7,False
0,0,8,False
0,0,9,False
0,0,10,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,1,7,False
0,1,8,False
0,1,9,False
0,1,10,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,2,7,False
0,2,8,False
0,2,9,False
0,2,10,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,3,7,False
0,3,8,False
0,3,9,False
0,3,10,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,4,7,False
0,4,8,False
0,4,9,False
0,4,10,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,5,5,False
0,5,6,False
0,5,7,False
0,5,8,False
0,5,9,False
0,5,10,False
0,6,0,False
0,6,1,False
0,6,2,False
0,6,3,False
0,6,4,False
0,6,5,False
0,6,6,False
0,6,7,False
0,6,8,False
0,6,9,False
0,6,10,False
0,7,0,False
0,7,1,False
0,7,2,False
0,7,3,False
0,7,4,False
0,7,5,False
0,7,6,False
0,7,7,False
0,7,8,False
0,7,9,False
0,7,10,False
0,8,0,False
0,8,1,False
0,8,2,False
0,8,3,False
0,8,4,False
0,8,5,False
0,8,6,False
0,8,7,False
0,8,8,False
0,8,9,False
0,8,10,False
0,9,0,False
0,9,1,False
0,9,2,False
0,9,3,False
0,9,4,False
0,9,5,False
0,9,6,False
0,9,7,False
0,9,8,False
0,9,9,False
0,9,10,False
0,10,0,False
0,10,1,False
0,10,2,False
0,10,3,False
0,10,4,False
0,10,5,False
0,10,6,False
0,10,7,False
0,10,8,False
0,10,9,False
0,10,10,False
0,11,0,False
0,11,1,False
0,11,2,False
